Date,SBUX,WMT,WST,TSLA,GME
2022-03-09,86.0002,137.302,371.678,286.323,26.3025
2022-03-08,82.466,136.598,357.958,274.8,25.7525
2022-03-07,82.9176,139.474,372.157,268.193,24.8375
2022-03-04,88.3858,140.605,386.436,279.43,27.915
2022-03-03,89.8585,137.133,390.48,279.763,29.6025
2022-03-02,91.0759,134.059,383.93,293.297,30.4925
2022-03-01,88.4939,133.89,380.844,288.123,29.755
2022-02-28,90.1137,133.066,386.326,290.143,30.835
2022-02-25,90.8893,134.267,385.717,269.957,29.645
2022-02-24,89.348,132.442,377.649,266.923,31.145
2022-02-23,88.0128,132.958,356.8,254.68,28.7175
2022-02-22,91.4097,134.337,368.413,273.843,29.515
2022-02-18,91.6355,135.854,368.772,285.66,30.3825
2022-02-17,91.3507,136.727,386.546,292.117,30.8525
2022-02-16,93.4418,131.469,378.587,307.797,32.0825
2022-02-15,92.7841,132.293,384.619,307.477,31.54
2022-02-14,91.9397,131.876,382.932,291.92,29.2725
2022-02-11,92.0184,133.236,390.44,286.667,31.0625
2022-02-10,93.5694,133.979,398.778,301.517,30.6175
2022-02-09,94.8751,135.556,407.985,310.667,31.0725
2022-02-08,92.7163,135.854,399.916,307.333,28.9
2022-02-07,92.9804,135.824,399.946,302.447,25.585
2022-02-04,92.7948,137.173,399.976,307.773,25.585
2022-02-03,93.7128,138.81,401.374,297.047,24.8075
2022-02-02,95.4613,138.671,407.935,301.887,25.01
2022-02-01,96.4676,138.731,396.471,310.417,28.15
2022-01-31,96.0376,137.649,392.458,312.24,27.2325
2022-01-28,94.9537,135.388,392.268,282.117,24.4775
2022-01-27,93.1071,133.741,383.111,276.367,23.38
2022-01-26,93.3613,133.652,377.839,312.47,25.815
2022-01-25,94.7583,135.031,377.629,306.133,24.9475
2022-01-24,95.8226,138.027,382.772,310.0,25.0375
2022-01-21,94.074,138.017,367.084,314.633,26.59
2022-01-20,93.4978,139.038,372.866,332.09,25.6675
2022-01-19,94.6209,141.716,374.724,331.883,26.6425
2022-01-18,95.4613,140.318,371.438,343.503,27.2275
2022-01-14,97.7909,142.818,378.867,349.87,29.1625
2022-01-13,100.019,143.224,379.865,343.853,30.62
2022-01-12,101.463,141.221,400.306,368.74,32.015
2022-01-11,101.63,141.964,398.529,354.8,32.575
2022-01-10,103.573,142.371,391.618,352.707,32.7875
2022-01-07,105.075,142.648,389.522,342.32,35.155
2022-01-06,108.561,141.299,406.757,354.9,32.7575
2022-01-05,107.873,141.697,402.992,362.707,32.3425
